Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MPE
15A,1,324.92340157480317,198981.6948031496,446.07364280256417,0.4837328358260182,-0.01345534780835131
14C,2,312.43496801705754,182138.77185501065,426.7771922854016,-0.15631368496230813,0.07661650127136253
38B,1,554.0029411764706,514753.5362745098,717.4632647561197,-0.34566957320984426,0.07162916723588765
184,2,473.36745689655174,480874.4431573276,693.4511108631434,-0.19562335880224713,0.07051147005557537
84,2,461.3237660944206,393407.0625,627.2217012348983,0.3421211775169102,0.019249180259205842
18,1,509.3640678770618,484378.6107748902,695.9731394061772,0.3613376815251752,-0.04522364319158622
69,1,500.28548123980426,564863.8965742252,751.5742788136281,-0.12347724257104775,0.2899938406431402
161,1,379.4835164835165,232374.64835164836,482.05253692066424,-1.3794192271910983,nan
61,1,397.40733399405354,340893.0852329039,583.8605015180458,0.2774634876158836,-0.06369840868337194
66B,1,657.7895284327324,695102.5544382802,833.7281058224439,-0.24690862634595412,0.14076862491610953
238,2,290.8249007936508,132362.15674603175,363.81610292293516,-0.707117577461799,0.06247767359886004
76A,1,825.0248565965583,1103429.0630975144,1050.442317834499,-0.8517737215972876,0.04611900656158518
27A,2,260.17128544020466,122821.9210189725,350.4595854288658,0.1872408835607422,-0.020551211998888316
66,2,561.6213924963924,510433.64448051946,714.4463902074945,0.034086457160639516,0.10923659244255848
31A,1,483.77962962962965,495867.35592592595,704.178497205024,-0.18602605048078824,0.026741536069324775
102,2,341.6332929915282,205184.68379359666,452.9731601249644,0.22879997501724436,0.033257592584812035
17,2,517.2527167630058,468009.4270520231,684.1121450844321,0.4016336037987891,nan
83,2,530.574029036775,481615.12867565773,693.9849628599006,0.2357531114635275,-0.02699477611058382
79A,1,264.69871442698604,153520.4543456763,391.8168632737446,-0.021201439307997783,0.047501659883268404
15A,2,406.7946846489488,294731.4606108687,542.8917577297234,0.38962817437136466,-0.0357086607239098
14C,1,176.30769230769232,52504.630036630035,229.13888809329165,-0.48754929567630323,0.1585339919299784
